trial,seed,player_names,map,skills,scores,player_states,distances_from_target,distance_source_to_target,start,target,penalties,timeout_count,error_count,winner_list,total_time_sorted,landing_history,ending_history
1,18131951131372893387,['Group 1'],maps/g4/n.json,[50],[6],['S'],[0.0],834.313812359179,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 1'],"[('Group 1', 460.53543281555176)]","{0: [(269.52428191905, 312.077963476077), (442.071290585466, 109.866676703653), (582.637120034254, 248.291883382154), (809.605030059181, 160.346977871883), (855.343577518287, 123.974089174535), (857.772780677317, 121.373309956339)]}","{0: [(286.68812978869, 296.22057427681), (457.609606665144, 91.2312869463377), (595.139871371165, 263.997943025735), (831.051545927983, 149.981881356498), (857.772780677317, 121.373309956339), (856.4498762067618, 123.3002325888133)]}"
2,12272027072284356065,['Group 1'],maps/g4/n.json,[50],[6],['S'],[0.0],834.313812359179,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 1'],"[('Group 1', 465.2252104282379)]","{0: [(267.107265536934, 312.877465339696), (441.264494233789, 116.286000081986), (588.506302861177, 256.116500518819), (804.704825927511, 155.933315679825), (855.386236766487, 123.709213658027), (858.423910920102, 121.646547207299)]}","{0: [(284.029411768362, 297.100026326791), (456.988002480332, 98.2045974575052), (601.658132899262, 271.90769082495), (825.009495230336, 144.335878165312), (858.423910920102, 121.646547207299), (856.4494131372899, 123.29627614638014)]}"
3,281359090509362625,['Group 1'],maps/g4/n.json,[50],[6],['S'],[0.0],834.313812359179,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 1'],"[('Group 1', 463.16242957115173)]","{0: [(264.460762740715, 315.535774974671), (435.413743110986, 117.354485208558), (591.731099521101, 261.602914122806), (807.369193358793, 159.290224967905), (855.59137913199, 123.833005259863), (858.398104578901, 121.472925577693)]}","{0: [(281.118258692521, 300.024166925264), (450.843291552833, 99.0875170368873), (605.819880317928, 277.854453831398), (827.52412466288, 147.433802081555), (858.398104578901, 121.472925577693), (856.457177642883, 123.30548177677481)]}"
4,14434419529977727573,['Group 1'],maps/g4/n.json,[50],[6],['S'],[0.0],834.313812359179,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 1'],"[('Group 1', 463.13625931739807)]","{0: [(273.367808662773, 313.985090684917), (439.947209016547, 119.991775214817), (586.230466573822, 258.871781443506), (811.031270019147, 163.690430838092), (856.405559533128, 124.597015477094), (858.826360587649, 121.796200117177)]}","{0: [(290.916009206784, 298.318414206534), (454.850328997523, 102.159111315646), (599.368480331453, 274.543048456292), (832.197548987917, 152.605169076272), (858.826360587649, 121.796200117177), (856.4429759054358, 123.28306206992985)]}"
5,12880696379294411474,['Group 1'],maps/g4/n.json,[50],[5],['S'],[0.0],834.313812359179,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 1'],"[('Group 1', 185.74649286270142)]","{0: [(281.704224755759, 307.590611430725), (529.050774385368, 237.599952778884), (795.484259401386, 252.161831429686), (856.363444786052, 131.087193706983), (860.015993181835, 118.780426613956)]}","{0: [(300.086066909069, 291.284487026922), (551.947245132997, 232.23149935408), (819.837960828225, 254.154864637247), (860.015993181835, 118.780426613956), (856.4491862562002, 123.29900243675897)]}"
1,12818716037565039671,['Group 1'],maps/g4/n.json,[100],[4],['S'],[0.0],834.313812359179,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 1'],"[('Group 1', 588.1053383350372)]","{0: [(303.640058961845, 263.977506597225), (570.055650562269, 265.531061435696), (850.382572574265, 127.593902199006), (857.490938911261, 122.822274158345)]}","{0: [(324.215484535764, 243.310071710073), (594.63966716492, 267.753160408258), (875.9568631152, 113.57797637808), (856.4706723776798, 123.33303373622986)]}"
2,6184627188681150418,['Group 1'],maps/g4/n.json,[100],[4],['S'],[0.0],834.313812359179,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 1'],"[('Group 1', 587.4864423274994)]","{0: [(302.280868986095, 268.392246426141), (570.821988328764, 265.97201521457), (850.357942907629, 126.758904232884), (857.229412615914, 122.901703787351)]}","{0: [(322.720375562439, 248.16628552188), (595.632149605396, 267.752588183839), (875.830522237853, 112.659535837789), (856.4660297019672, 123.32203871216912)]}"
3,8310992282215956579,['Group 1'],maps/g4/n.json,[100],[5],['S'],[0.0],834.313812359179,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 1'],"[('Group 1', 572.1722609996796)]","{0: [(307.204774086434, 262.980953543028), (586.567545888763, 289.347539744521), (849.873028839585, 125.818285651922), (857.36408196401, 122.410003356693), (855.73856332166, 123.75160134449)]}","{0: [(328.136671172812, 242.213863350456), (612.410633360358, 294.060907383927), (873.619268387507, 108.994023478721), (855.73856332166, 123.75160134449), (856.4552485537137, 123.30274279861037)]}"
4,18192760891356262618,['Group 1'],maps/g4/n.json,[100],[5],['S'],[0.0],834.313812359179,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 1'],"[('Group 1', 518.3648900985718)]","{0: [(305.928241810542, 262.487483338866), (569.138107317691, 263.792810730527), (848.238495920781, 125.554696700659), (873.724478564606, 111.509667651626), (857.664224471419, 122.514714920772)]}","{0: [(326.732485669331, 241.671046125878), (593.378669482527, 266.004987190992), (873.724478564606, 111.509667651626), (857.664224471419, 122.514714920772), (856.4578494614037, 123.30679940865924)]}"
5,3505754560258484084,['Group 1'],maps/g4/n.json,[100],[5],['S'],[0.0],834.313812359179,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 1'],"[('Group 1', 434.2842240333557)]","{0: [(302.326933131477, 269.021320065047), (572.368083933929, 264.810538685464), (854.60019364663, 122.609886267831), (857.061843667181, 123.030350818289), (854.73528460992, 124.510356069672)]}","{0: [(322.77104612236, 248.858266524677), (597.327787715086, 266.405765901543), (880.327434239784, 108.23029830446), (854.73528460992, 124.510356069672), (856.4519747548155, 123.29833919189986)]}"
